"topic_id","post_number","author","html_message","timestamp"
149,0,"6fdc9afebf164151","I am playing this game for a while now but I have never witnessed SO MANY of my friends in battlenet being offline for DAYS and almost always disconnecting in mere hours. 
<br /> 
<br />Personal experience, me and my girlfriend were hardcore WoW players. I can be a cynical bastard at times, I had the thought of getting imprisoned in garrison with no one around to see, doing dailies and spamming a bunch of boring heroics 24/7 were kinda killing my fun for a while... But today when my Blizzard obsessed girlfriend whose barely logged off this game since WOTLK woke up and told me &quot;I am not feeling to play WoW at all today...&quot; and played something else instead...it really made me think that the expansion already ran out of fun. Another hardcore PvP freak friend who wasted nights over this game bought WoD and I couldnt see him online again after that login attempt. And the list goes on with so many &quot;Last login more than a week&quot; guys all over...Out of all my huge friend list I have 3-4 constantly online brave souls SITTING IN THEIR GARRISONS AFK 24/7. No one is there farming transmogs anymore...Hell being in an RP server, even Stormwind Church has less people than ever. 
<br /> 
<br />I have seen others complaning about situation on Trade Chat lately, your average gaming trash's reply to them was &quot;Go play something else&quot;. What can I do?! I love WoW. Its the only MMO I can play with huge player database. But I just cant FORCE myself to do inn dailies anymore. I COULDNT EVEN FINISH MY DAILY HERB AND MINING TOURS TODAY! 
<br /> 
<br />By god, what has happened to this game? I have never seen WoW so isolated, boring and out of content before...","2014-12-07 06:45:00"
149,1,"2d165465644b525e","<blockquote data-quote=""129882302537"" class=""quote-public""> 
 <div> 
  <span class=""bml-quote-date"">07/12/2014 06:45</span>Posted by 
  <a href=""12989589232?page=1#1"">6fdc9afebf164151</a> 
 </div>I am playing this game for a while now but I have never witnessed SO MANY of my friends in battlenet being offline for DAYS and almost always disconnecting in mere hours. 
 <br /> 
 <br />Personal experience, me and my girlfriend were hardcore WoW players. I can be a cynical bastard at times, I had the thought of getting imprisoned in garrison with no one around to see, doing dailies and spamming a bunch of boring heroics 24/7 were kinda killing my fun for a while... But today when my Blizzard obsessed girlfriend whose barely logged off this game since WOTLK woke up and told me &quot;I am not feeling to play WoW at all today...&quot; and played something else instead...it really made me think that the expansion already ran out of fun. Another hardcore PvP freak friend who wasted nights over this game bought WoD and I couldnt see him online again after that login attempt. And the list goes on with so many &quot;Last login more than a week&quot; guys all over...Out of all my huge friend list I have 3-4 constantly online brave souls SITTING IN THEIR GARRISONS AFK 24/7. No one is there farming transmogs anymore...Hell being in an RP server, even Stormwind Church has less people than ever. 
 <br /> 
 <br />I have seen others complaning about situation on Trade Chat lately, your average gaming trash's reply to them was &quot;Go play something else&quot;. What can I do?! I love WoW. Its the only MMO I can play with huge player database. But I just cant FORCE myself to do inn dailies anymore. I COULDNT EVEN FINISH MY DAILY HERB AND MINING TOURS TODAY! 
 <br /> 
 <br />By god, what has happened to this game? I have never seen WoW so isolated, boring and out of content before... 
</blockquote> 
<br /> 
<br />They seemed to remove more than they added in WoD. The little content that IS there is not all that fun at that. 
<br />I like the dungeons and the few bosses I have done in the raid are pretty nice... But the world is just empty and boring, filled with reused models and annoying timesinks. It's a pain in the *** to go anywhere in the world but there is just no reason to so why bother?","2014-12-07 07:22:00"
149,2,"cc689684531877d0","The old skool guys held some campaigns and Blizz listened. 
<br /> 
<br />That's what happened. 
<br /> 
<br />Now, not really surprisingly, it's as empty, quiet and stuffy as one of those pubs old guys frequent. 
<br /> 
<br />I wouldn't mind so much, but it's not even a classy establishment with a nice restaurant. 
<br /> 
<br />No, it's some backstreet, drab nightmare of a place, with a lingering odour of pork scratchings, full of grumpy mumbling about &quot;kids these days&quot; and &quot;back in my day&quot;.","2014-12-07 07:25:00"
149,3,"6320d29d9e2bd500","yeah i have to say, WOD sucks so far, i wish they'd just take an expansion concept, and go about it the same way they did with WOTLK, instead of adding in all this stupid experimental crap.","2014-12-07 07:28:00"
149,4,"17c6d6136ab3d95c","The problem is, vanilla didn't have any lfr, lfd, quest objectives tracker on map, so many teleports, PvP queue, etc. Returning vanilla play in WoD is like returning medieval social order in modern world. It just doesn't belong there any more. It was fun, big fun. But it's over now. Look at reputation grind in WoD. Most people hated it in vanilla. Most people hate it now.","2014-12-07 07:36:00"
149,6,"3cf8346331af1dd4","+1 to 2d165465644b525e regarding the fact they seemed to have added less than they taken in WOD but as i also mnetioned WOD is unfinished.","2014-12-07 07:39:00"
149,5,"3cf8346331af1dd4","Did they even beta test WOD for fun it seems not and also WOD was released unfinished, Tanaan Jungle anyone? 
<br /> 
<br />The ability pruning killed a lot of specs, I feel pigeon holed into playing destruction because it's the most viable in terms of DPS but to be honest all warlock specs are abysmal right now so it doesn't matter if I'm melee'ing bosses, crap DPS is crap DPS. 
<br />Specs has in a way gone back to Vanilla where there is truely ONLY one spec that works and everything else is broken or not fun like Arms warrior 3 button rotation anyone? Rend, MS, whrilwind and whirlwind and whirldwind some more and then OMG MS is back then whirlwind, I'm getting dizzy from just thinking about it. 
<br />The ability pruning hit some classes harder than others and has made some classes completely broken in all 3 specs and it's not fun to completely play the underdog no matter which specialization you choose. 
<br /> 
<br />They completely obliterated all professions and everything is gated behind cooldowns, it's all a ploy to make you sub for longer to do less content because as stated before WOD is an unfinished product. 
<br />Imagine if we had to go out and mine 50 ores to combine to make 1 truesteel ingot, that's 5000 ores to make one craftable but I bet you any money people will still find a way to do that in 2-3 days instead of waiting and waiting and even more waiting for their work orders to complete. 
<br /> 
<br />People who choose to go HAM with thier professions will benefit most like it's always been, you'd go out and farm your mats, long it was, tedious it might have been but rewarding it certainly is. 
<br />Now with a few clicks here and there you now have your very own welfare epic. 
<br /> 
<br />Garrisonville, just makes the game feel so empty and it doesn't immerse you in the world of warcraft it's more like World of Garrisons and with Mafia Wars thrown into it. You log on, do your mining, herbing, work orders and then send your slaves off on missions. This takes 15 minutes tops. 
<br />Then maybe depending on long the missions were you'd log on once every 1 hour, 4 hour and then 8 hour to send your slaves off on missions again. 
<br />If you have a Salvage yard, you'd Salvage for loot and loot all your work orders that are ready. 
<br />Rinse and repeat everyday since level 100 and that was almost 1 month ago. 
<br /> 
<br />Okay, maybe just maybe you'd do a heroic for your inn dailies but honestly who'd want to do those anymore after you've done them to death and are already 635+? 
<br />Play with your friend's you might say? Not even they log on anymore because Garrisonville isn't not entertaining, que song &quot;all by myself&quot; 
<br /> 
<br />Highmaul has just been released and that'll keep the masses at bay for a while but remember after Blackrock foundry nothing 
<span class=""underline""><strong>new</strong></span> is coming out until March and that is being very optimistic! 
<br /> 
<br />TL:DR 
<br /> 
<br />Ability pruning ruined classes. 
<br />WOD released as unfinished product. 
<br />Garrisons make the WoW more un social 
<br />Professions completely Obliterated. 
<br />No incentive to run heroics beyond 635 ilvl.","2014-12-07 07:36:00"
149,7,"a6b4056e7f0fac55","<blockquote data-quote=""129885402210"" class=""quote-public""> 
 <div> 
  <span class=""bml-quote-date"">07/12/2014 07:25</span>Posted by 
  <a href=""12989589232?page=1#3"">cc689684531877d0</a> 
 </div>The old skool guys held some campaigns and Blizz listened. 
 <br /> 
 <br />That's what happened. 
 <br /> 
 <br />Now, not really surprisingly, it's as empty, quiet and stuffy as one of those pubs old guys frequent. 
 <br /> 
 <br />I wouldn't mind so much, but it's not even a classy establishment with a nice restaurant. 
 <br /> 
 <br />No, it's some backstreet, drab nightmare of a place, with a lingering odour of pork scratchings, full of grumpy mumbling about &quot;kids these days&quot; and &quot;back in my day&quot;. 
</blockquote> 
<br /> 
<br />If u were to listen to a oldschool like me, it would even been Quests just to find a key to enter a damn dungeon, 
<br /> 
<br />It used to be hard before, thats when wow is cool, take away the hard part and things that takes time and u get a baunch of bored players.. things used to be EPIC!!!!!!!!. now u can craft epics for free. if it was up to any true oldschooler we would have dungeons with half a tier set in blue quality and setbonus, we would have insanely hard rep factions to farm and more.... but with ever increasing ''i like shop my way to happyness'' players, the focus blizzard seem to have atm is the damn ugly ESHOP or other crap that costs cash.... 
<br /> 
<br />WoW isnt a game anymore, wow is a virtual walmart.","2014-12-07 07:58:00"
149,8,"197339ccac1b2290","edit: i'll stop making posts during lack of sleep. they do not make much sense...","2014-12-07 08:02:00"
149,9,"cc689684531877d0","<blockquote data-quote=""129882203451"" class=""quote-public""> 
 <div> 
  <span class=""bml-quote-date"">07/12/2014 07:58</span>Posted by 
  <a href=""12989589232?page=1#8"">a6b4056e7f0fac55</a> 
 </div>If u were to listen to a oldschool like me, it would even been Quests just to find a key to enter a damn dungeon,It used to be hard before, thats when wow is cool, take away the hard part and things that takes time and u get a baunch of bored players.. things used to be EPIC!!!!!!!!. now u can craft epics for free. if it was up to any true oldschooler we would have dungeons with half a tier set in blue quality and setbonus, we would have insanely hard rep factions to farm and more.... but with ever increasing ''i like shop my way to happyness'' players, the focus blizzard seem to have atm is the damn ugly ESHOP or other crap that costs cash....WoW isnt a game anymore, wow is a virtual walmart. 
</blockquote> 
<br /> 
<br />Thanks for the thumbs down. 
<br /> 
<br />Now, don't you have a warm pint and packet of pork scratchings to go back to? 
<br /> 
<br />Oh and I think a new customer has accidentally wandered in... 
<br /> 
<br />You might want to go and chase them away, before they brighten up the place.","2014-12-07 08:02:00"
